Open,High,Low,Close,Adj Close,Volume
883.780029,884.390015,878.900024,883.590027,883.590027,1100.0
881.549988,883.109985,865.049988,865.070007,865.070007,1100.0
869.190002,877.710022,861.919983,872.690002,872.690002,1000.0
876.190002,885.119995,868.809998,871.429993,871.429993,900.0
881.409973,883.359985,873.210022,873.969971,873.969971,1300.0
882.169983,886.440002,881.460022,886.440002,886.440002,1000.0
888.440002,893.419983,884.109985,893.359985,893.359985,1300.0
890.469971,892.97998,888.450012,891.140015,891.140015,1200.0
897.080017,899.01001,890.200012,891.51001,891.51001,1200.0
889.070007,889.090027,873.090027,873.780029,873.780029,1100.0
877.77002,880.72998,873.609985,874.950012,874.950012,1336500.0
873.219971,877.179993,867.200012,877.179993,877.179993,1300.0
869.099976,872.090027,865.960022,869.859985,869.859985,1200.0
852.73999,852.73999,828.76001,828.77002,828.77002,1300.0
816.25,826.5,804.380005,823.580017,823.580017,1300.0
822.27002,826.299988,795.419983,799.409973,799.409973,1200.0
812.950012,822.309998,800.559998,802.150024,802.150024,1000.0
787.969971,798.849976,780.960022,798.690002,798.690002,1000.0
804.47998,804.890015,763.219971,769.919983,769.919983,0.0
774.799988,782.549988,764.690002,778.299988,778.299988,1000.0
783.210022,785.22998,746.940002,746.960022,746.960022,1100.0
747.48999,751.98999,714.380005,714.380005,714.380005,1300.0
719.469971,750.409973,719.469971,750.299988,750.299988,800.0
758.0,774.570007,754.619995,770.599976,770.599976,900.0
770.690002,774.799988,759.830017,769.51001,769.51001,1000.0
759.210022,765.789978,753.320007,762.349976,762.349976,800.0
745.440002,745.440002,745.440002,745.440002,745.440002,0.0
748.200012,753.450012,724.200012,729.47998,729.47998,800.0
722.72998,722.72998,722.72998,722.72998,722.72998,0.0
729.400024,750.97998,728.320007,750.950012,750.950012,936700.0
750.039978,759.880005,743.609985,744.630005,744.630005,700.0
750.97998,759.030029,750.669983,757.969971,757.969971,800.0
764.97998,770.919983,764.02002,766.47998,766.47998,900.0
767.890015,774.349976,763.140015,767.039978,767.039978,800.0
762.179993,762.179993,747.73999,750.780029,750.780029,800.0
751.340027,763.72998,747.73999,763.179993,763.179993,900.0
762.539978,768.130005,757.98999,766.080017,766.080017,800.0
768.409973,769.289978,754.330017,762.390015,762.390015,900.0
770.289978,776.719971,766.890015,776.719971,776.719971,700.0
773.72998,782.330017,771.690002,782.330017,782.330017,700.0
792.940002,795.919983,788.02002,790.719971,790.719971,900.0
792.950012,795.669983,790.969971,795.150024,795.150024,900.0
796.580017,800.650024,789.72998,789.75,789.75,900.0
787.710022,791.25,783.780029,789.690002,789.690002,900.0
788.76001,791.01001,786.460022,789.929993,789.929993,800.0
789.609985,795.809998,788.289978,795.700012,795.700012,700.0
802.5,805.200012,796.47998,798.320007,798.320007,700.0
802.969971,807.77002,801.049988,803.619995,803.619995,800.0
804.150024,808.960022,801.400024,807.609985,807.609985,800.0
807.690002,807.690002,799.359985,804.340027,804.340027,905900.0
804.169983,815.400024,803.200012,815.359985,815.359985,1000.0
820.059998,825.98999,820.059998,825.159973,825.159973,900.0
826.22998,832.27002,826.22998,831.640015,831.640015,900.0
829.77002,831.119995,825.940002,830.859985,830.859985,900.0
831.130005,833.940002,826.450012,833.650024,833.650024,976700.0
