Date,Open,High,Low,Close,Volume,Change,score
2022-01-03,0.9924642049736246,1.0,1.0,1.0,0.068944279423936,0.3923847757493794,-1
2022-01-04,1.0,0.9633162142333088,0.9699248120300752,0.9553571428571428,0.1019278771947652,0.1983724656102469,-1
2022-01-05,0.9547852298417482,0.9119589141599412,0.8796992481203008,0.8660714285714286,0.2645335405307455,0.0765671758884471,-1
2022-01-06,0.8266767143933685,0.7945707997065298,0.8030075187969925,0.7842261904761905,0.3851588858222952,0.0839739168260866,0
2022-01-07,0.7889977392614921,0.772560528246515,0.8015037593984962,0.7842261904761905,0.1958420827176914,0.313957910750507,-1
2022-01-10,0.7889977392614921,0.7578870139398385,0.7323308270676692,0.7336309523809523,0.2806801303017522,0.1639665314401621,-1
2022-01-11,0.7287113790504899,0.7094644167278062,0.7218045112781954,0.7098214285714286,0.2210048175196923,0.2408894029875818,1
2022-01-12,0.7302185380557648,0.7300073367571532,0.7458646616541353,0.7425595238095237,0.1593779161491977,0.4161192217358808,0
2022-01-13,0.7513187641296156,0.7241379310344828,0.7473684210526315,0.7351190476190477,0.1092954358714716,0.2912649521281483,-1
2022-01-14,0.7166541070082894,0.681584739545121,0.7082706766917293,0.6934523809523809,0.1192427102452705,0.1862202557626839,0
2022-01-17,0.6819894498869631,0.6669112252384445,0.6842105263157894,0.6785714285714286,0.1135027543886312,0.2669769612703518,0
2022-01-18,0.6819894498869631,0.6683785766691123,0.6842105263157894,0.6651785714285714,0.0572402635651804,0.2712199124666752,-1
2022-01-19,0.6141672946495854,0.6096845194424064,0.613533834586466,0.6413690476190477,0.2333109409046721,0.2372359775994358,1
2022-01-20,0.6503391107761868,0.6434336023477624,0.6360902255639098,0.669642857142857,0.1384078713433568,0.4066777248738976,0
2022-01-21,0.6548605877920121,0.6639765223771094,0.663157894736842,0.6622023809523809,0.1354056072200144,0.2900602338480878,-1
2022-01-24,0.6518462697814619,0.6346294937637563,0.649624060150376,0.6354166666666665,0.0794748960490702,0.2274576920017499,-1
2022-01-25,0.6428033157498115,0.6140865737344093,0.6165413533834585,0.5997023809523809,0.1288091034964863,0.1963176132521976,0
2022-01-26,0.5975885455915598,0.5832721936903887,0.6030075187969923,0.5892857142857142,0.0904163103212908,0.2787061092741303,-1
2022-01-27,0.5930670685757348,0.5671313279530447,0.5428571428571427,0.5252976190476191,0.1857146497143691,0.0956667948517449,1
2022-01-28,0.5297663903541824,0.5392516507703594,0.5368421052631578,0.5610119047619047,0.1356258144234219,0.442137411656656,0
2022-02-03,0.5945742275810099,0.5788701393983858,0.5804511278195488,0.5625,0.1452432276392714,0.3191479238754325,1
2022-02-04,0.5644310474755087,0.5671313279530447,0.5714285714285714,0.5922619047619047,0.0704177431969133,0.4176361987924951,0
